pw_session_id;pw_event_id;pw_search_category;pw_search_keyword;pw_search_results_count
6406669791;21613489263;zoeken;onderwijsprijs;10
6406674059;21613521841;zoeken;Nieuwe jaar vakantie;2260
6406681297;21613536481;zoeken;verlof schoolgaand kind;0
6406682381;21613557091;zoeken;wiskunde;1080
6406682555;21613542273;zoeken;schrijfvaardigheod;0
6406683651;21613546635;zoeken;studiekosten mbo;90
6406685227;21613570989;zoeken;Kerstvakantie;720
6406685227;21613579497;zoeken;Kerstvakantie;720
6406691605;21613577075;zoeken;stage;2900
6406701861;21613671571;zoeken;omzetten diploma;100
6406704999;21613645129;zoeken;Meivakantie;530
6406709261;21613655511;zoeken;Regio noord;5170
6406709317;21613650347;zoeken;uitwisseling;8080
6406709317;21613662813;zoeken;student uitwisseling;300
6406709317;21613672683;zoeken;middelbare school uitwisseling;120
6406711359;21613658391;zoeken;huiswerkbegeleiding;180
6406711359;21613698367;zoeken;huiswerkbegeleiding;180
6406713133;21614042835;zoeken;iran;2210
6406713133;21614057463;zoeken;iran;2210
6406713133;21614717987;zoeken;demissionair cv;30
6406716129;21613761747;zoeken;dysorthografie;0
6406721911;21613723079;zoeken;1961 september geboren;30
6406721975;21613717761;zoeken;rekenen;1640
6406721975;21613721667;zoeken;rekenonderwijs;120
6406721975;21613725301;zoeken;pabo;400
6406725717;21613717309;zoeken;stagepact;190
6406729095;21613738627;zoeken;Herfst 2024;80
6406729149;21613736157;zoeken;Meivakantie;530
6406734535;21613778547;zoeken;Leerplicht kind;270
6406737205;21613775309;zoeken;Ik zoek school voor mijn zoon hij heeft 15 jaar;20
6406742531;21613791517;zoeken;Pasen 2024;30
6406749243;21613817859;zoeken;stagepact;320
6406751693;21613837649;zoeken;Student geld;860
6406751693;21613876237;zoeken;Student geld;860
6406751693;21613880753;zoeken;Student geld;860
6406751693;21613893359;zoeken;Praktijk school  geld;1230
6406751733;21613827649;zoeken;Oktober;38920
6406753929;21613850721;zoeken;werken in nederland en buitenland;7370
6406753929;21613857125;zoeken;werken in nederland en buitenland;7370
6406753929;21613889471;zoeken;studeren en werken in het buitenland;530
6406753929;21613896453;zoeken;studeren en werken in het buitenland;530
6406763487;21613883091;zoeken;strategisch personeelsbeleid;300
6406763487;21613892983;zoeken;strategisch personeelsbeleid;300
6406766989;21613891497;zoeken;Checken bro;40
6406766989;21613897111;zoeken;Brp checken;60
6406772557;21613916339;zoeken;digitale leermiddelen;250
6406774229;21613921497;zoeken;toelating leerlingen kosten ouders;100
6406779165;21614008639;zoeken;Kerstvakantie;720
6406780025;21613950483;zoeken;Pinksteren 2024;20
6406790813;21613987723;zoeken;Ov;6500
6406795253;21614007427;zoeken;studiefinanciering;2950
6406795401;21614032901;zoeken;Zomervakantie 2023;360
6406795401;21614037327;zoeken;Zomervakantie 2023;360
6406796335;21614016353;zoeken;hbo propedeuse;150
6406796491;21614033435;zoeken;Herfstvakantie;310
6406799919;21614035893;zoeken;Elst;170
6406800961;21614034267;zoeken;Denhaag;180
6406804635;21614049291;zoeken;Schagen;860
6406807581;21614170559;zoeken;veiligheid;320
6406807581;21614207083;Kamerstuk;veilig*;110
6406807581;21614233649;zoeken;sociale veiligheid;11330
6406807581;21614257893;zoeken;sociale veiligheid;8430
6406807581;21614280497;zoeken;veiligheid;72130
6406807581;21614303857;zoeken;veiligheid;220
6406810575;21614067677;zoeken;stap;23250
6406822229;21614132043;zoeken;Duo;6470
6406823167;21614138201;zoeken;MBvO;0
6406825859;21614144901;zoeken;2023 -2024;77290
6406828113;21614151353;zoeken;Vakanties;1000
6406830391;21614164535;zoeken;Kwalificatieplicht;170
6406838811;21614191177;zoeken;Examenrooster vmbo t;10
6406840579;21614208859;zoeken;cijfer;2450
6406845439;21614226429;zoeken;verlof school;310
6406845443;21614213353;zoeken;2024-2025;1330
6406848087;21614304689;zoeken;schoolvakanties;750
6406849013;21614338455;zoeken;NIjmegen;4920
6406849537;21614229389;zoeken;Hoofdlijnen van de begroting;1770
6406855839;21614254969;zoeken;welke oleiding kan ik kiezen niveau 3;0
6406870165;21614310737;zoeken;curriculum;1020
6406870165;21614334935;zoeken;curriculum;0
6406870165;21614355601;zoeken;curriculum;60
6406873841;21614329815;zoeken;Regio;23640
6406873841;21614346319;zoeken;Schoolvakantie;490
6406874033;21614403011;zoeken;Herfstvakantie 2023;50
6406876301;21614332629;zoeken;Laudius;0
6406877695;21614350841;zoeken;teruggave schoolgeld;0
6406878073;21614345773;zoeken;suptidi zzp;0
6406880287;21614355453;zoeken;Herfstvakantie;310
6406880287;21614364193;zoeken;Kerstvakantie;720
6406882379;21614358869;zoeken;aanvullende beurs;800
6406888741;21614382645;zoeken;bewijsstukken;850
6406896217;21614496235;zoeken;cursusgeld;220
6406904953;21614521649;Kamerstuk;wbso;120
6406904953;21614880671;Kamerstuk;subsidie;2610
6406904953;21615346127;Kamerstuk;subsidie;2610
6406909671;21614470047;zoeken;Diploma;3940
6406909857;21614471089;zoeken;mobiele telefoon;2050
6406909857;21614474057;zoeken;mobiele telefoon klas;120
6406913973;21614492097;zoeken;Thuisschool;0
6406918439;21614514529;zoeken;Studenten ov;860
6406922137;21614523249;zoeken;hoorrecht;110
6406922137;21614534599;zoeken;hoorrecht;110
6406925633;21614538395;zoeken;maritiem;1540
6406925633;21614577369;zoeken;scheepvaart;2280
6406927147;21614587693;zoeken;Berkel en Rodenrijs  is dat noord;10
6406927147;21614593021;zoeken;Rotterdam;19360
6406929079;21614555307;zoeken;Kerstvakantie Noord;210
6406930103;21614560707;zoeken;studenten funtiebeperking;0
6406930103;21614585679;zoeken;AWGB;120
6406937263;21614599073;zoeken;gemeente hellendoorn;810
6406939461;21614600517;zoeken;Herfstvakantie Twente;10
6406942387;21614618765;zoeken;Herfstvakantie zuid 2024;70
6406944689;21614618593;zoeken;ik word 18;1710
6406953975;21614688897;zoeken;feestdagen;1670
6406953975;21614690759;zoeken;feestdagen;1670
6406956117;21614729723;zoeken;Duo;6470
6406973179;21614829071;zoeken;stap;23250
6406973803;21614750957;zoeken;hoe ziet diploma op vavo eruit;0
6406976567;21614757877;zoeken;Hbo Rotterdam;660
6406977607;21614759203;zoeken;reclassering;10
6406977607;21614769831;zoeken;oorlog;20
6406977607;21614792195;zoeken;pensioen;110
6406977607;21614899223;zoeken;pensioen;110
6406977607;21615478755;zoeken;inreisverbod;10
